pid,baseline,effector_congruent,effector_incongruent,movement_congruent,movement_incongruent
P1,569.0,565.0714285714286,543.7272727272727,580.4,561.5238095238095
P10,631.65,572.85,645.3157894736842,584.1578947368421,635.75
P11,492.35,452.7894736842105,522.0,467.63157894736844,486.5882352941176
P12,595.85,658.5882352941177,586.1578947368421,571.75,557.578947368421
P13,690.55,662.1,737.1578947368421,632.1578947368421,731.45
P14,486.95,500.55,513.4,453.65,486.94736842105266
P15,472.3,498.1,529.3333333333334,449.95,542.35
P16,422.2631578947368,393.65,448.1875,393.2631578947368,405.05555555555554
P17,565.35,537.9473684210526,611.45,525.65,571.9473684210526
P18,506.6,488.2,523.65,471.15,529.7777777777778
P19,435.1578947368421,437.4,466.5263157894737,435.7894736842105,457.70588235294116
P2,494.3333333333333,503.1578947368421,502.2,446.27777777777777,496.6190476190476
P20,608.2,600.85,636.8888888888889,559.0,696.1578947368421
P21,552.4736842105264,569.15,682.55,526.6111111111111,619.0588235294117
P22,520.5,469.0,511.36842105263156,468.5263157894737,482.36842105263156
P23,438.4,430.15,435.3888888888889,432.4736842105263,436.7
P24,464.8,467.95,492.6842105263158,460.77777777777777,506.55555555555554
P25,453.45,464.2,458.7894736842105,430.3,466.1
P26,528.3,504.35,524.1052631578947,455.6470588235294,503.1111111111111
P27,501.57894736842104,497.0,566.1578947368421,478.89473684210526,561.1666666666666
P28,455.9,476.70588235294116,455.8888888888889,416.1578947368421,433.15
P29,434.2105263157895,394.8421052631579,459.6842105263158,398.2631578947368,466.27777777777777
P3,500.1333333333333,513.5909090909091,501.1875,467.4,512.25
P30,471.3157894736842,468.6842105263158,455.4736842105263,427.89473684210526,462.94736842105266
P31,509.0,471.45,491.05,476.94736842105266,508.42105263157896
P32,461.3,413.7368421052632,501.1875,389.45,437.11764705882354
P33,518.9375,469.8,530.9,459.25,555.2727272727273
P34,491.85,468.7894736842105,505.0,493.65,526.2222222222222
P35,413.1111111111111,452.85,455.1,394.6666666666667,462.8235294117647
P36,520.65,504.75,553.2,476.5,627.35
P37,494.45,461.2105263157895,533.7777777777778,424.22222222222223,520.7222222222222
P38,485.7368421052632,477.55,522.2777777777778,447.1,561.0588235294117
P39,530.55,560.6315789473684,574.2631578947369,503.15,545.8421052631579
P40,447.35,420.2105263157895,447.8,423.6,485.4736842105263
P41,559.5,450.1578947368421,565.3333333333334,456.89473684210526,526.5
P42,559.5,518.4,584.2,509.3157894736842,580.7894736842105
P43,443.36842105263156,432.8421052631579,433.7368421052632,413.2105263157895,438.2631578947368
P44,539.1,475.05,580.9375,454.95,531.3684210526316
P45,515.9,492.65,562.5882352941177,449.3,547.35
P46,462.6,459.85,487.7368421052632,415.6,477.1764705882353
P47,547.75,513.5,567.2631578947369,528.2,540.8333333333334
P48,658.0,649.7,663.35,584.05,670.2777777777778
P49,568.35,502.9,541.0526315789474,485.3,535.85
P5,590.1,548.1,520.65,549.1578947368421,528.65
P6,450.36842105263156,422.36842105263156,421.3,425.8235294117647,461.9375
P7,479.65,500.65,489.4736842105263,479.1578947368421,491.8
P8,666.2,604.9,776.8947368421053,589.2,890.421052631579
P9,465.25,469.72222222222223,464.6842105263158,417.8421052631579,439.4736842105263
